epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.50884,0.77785,4.58892,2.16859,1.01121,0.79789,0.88067,0.88899,0.70509,0.64627,0.64286,0.58641,0.39018,0.5762,2.5031,1.67491,0.97692,0.0004287,0.0004287,0.0004287
2,16.2702,0.68496,2.52336,1.05736,0.94199,0.90541,0.86644,0.94387,0.79892,0.76317,0.73428,0.70456,0.44402,0.64408,2.48059,1.0715,0.99365,0.000854431,0.000854431,0.000854431
3,24.1692,0.70869,2.3827,0.90902,0.93497,0.90696,0.8038,0.94014,0.72908,0.8256,0.73335,0.76522,0.44197,0.76294,2.67911,0.87519,1.01923,0.00126262,0.00126262,0.00126262
4,31.7499,0.7945,2.21202,0.93761,0.96265,0.75634,0.8696,0.88252,0.67195,0.60434,0.75019,0.69769,0.43323,0.7773,2.61805,0.94282,1.01132,0.00134412,0.00134412,0.00134412
5,38.6845,0.73098,2.01566,0.86207,0.9463,0.92207,0.74128,0.86134,0.70062,0.81157,0.62514,0.70196,0.50295,0.74016,1.67894,0.87761,1.02029,0.00131582,0.00131582,0.00131582
6,45.573,0.6868,1.84035,0.72438,0.91455,0.91177,0.92531,0.94278,0.77297,0.76305,0.78571,0.75157,0.51153,0.70038,1.88563,0.79391,1.00315,0.00128753,0.00128753,0.00128753
7,52.7109,0.68713,1.87857,0.73208,0.92698,0.95038,0.96693,0.97804,0.82474,0.90459,0.77381,0.82341,0.64198,0.60828,1.48756,0.62962,0.97417,0.00125923,0.00125923,0.00125923
8,62.9237,0.64913,1.59788,0.70843,0.91705,0.94345,0.93884,0.98434,0.84892,0.81138,0.82797,0.84637,0.65577,0.60006,1.42651,0.61429,0.97498,0.00123094,0.00123094,0.00123094
9,73.6911,0.62161,1.65578,0.64124,0.90722,0.96768,0.97619,0.98624,0.86757,0.88526,0.85714,0.87109,0.68472,0.48482,1.1427,0.54186,0.94653,0.00120265,0.00120265,0.00120265
10,82.3269,0.61126,1.45396,0.57699,0.88753,0.92326,0.9881,0.98692,0.86339,0.86505,0.85179,0.87697,0.71511,0.57182,1.00756,0.55523,0.95543,0.00117435,0.00117435,0.00117435
11,88.9146,0.60056,1.42351,0.58117,0.89456,0.95545,0.97619,0.98611,0.84592,0.91229,0.86905,0.88178,0.7218,0.59843,1.05978,0.51644,0.96981,0.00114606,0.00114606,0.00114606
12,95.0669,0.61175,1.4744,0.6029,0.91419,0.95834,0.98738,0.98699,0.87913,0.86551,0.89224,0.88215,0.70465,0.48112,1.01557,0.47258,0.93547,0.00111776,0.00111776,0.00111776
13,104.404,0.59171,1.32754,0.57687,0.90389,0.96234,0.9977,0.99305,0.90787,0.85867,0.90057,0.89173,0.70293,0.45278,1.033,0.45061,0.92362,0.00108947,0.00108947,0.00108947
14,113.417,0.5941,1.32535,0.56861,0.89928,0.97078,0.98109,0.99266,0.91184,0.88936,0.88084,0.89346,0.71764,0.4231,1.00523,0.43725,0.92573,0.00106118,0.00106118,0.00106118
15,120.162,0.5667,1.2994,0.54944,0.88268,0.97158,0.97619,0.98837,0.90172,0.87664,0.88095,0.89182,0.73894,0.43035,0.97685,0.47601,0.9247,0.00103288,0.00103288,0.00103288
16,127.012,0.55264,1.27909,0.55855,0.87826,0.92133,0.9952,0.99043,0.91228,0.86736,0.8177,0.87736,0.72234,0.43788,0.94836,0.45239,0.92565,0.00100459,0.00100459,0.00100459
17,133.771,0.53344,1.23147,0.49326,0.8767,0.96715,0.98295,0.98909,0.87697,0.87306,0.88779,0.89088,0.72835,0.47393,0.86382,0.47656,0.92792,0.000976293,0.000976293,0.000976293
18,140.553,0.51656,1.20203,0.52872,0.87661,0.96867,0.98184,0.99272,0.92072,0.88591,0.89861,0.92315,0.74085,0.40593,0.92549,0.38971,0.91791,0.000947999,0.000947999,0.000947999
19,147.478,0.51106,1.14439,0.49462,0.86458,0.965,0.98538,0.99305,0.92579,0.8595,0.8784,0.86495,0.7423,0.38951,0.89155,0.37266,0.91366,0.000919704,0.000919704,0.000919704
20,154.603,0.50228,1.1672,0.48781,0.85818,0.96158,0.98343,0.9919,0.9352,0.86906,0.88825,0.86884,0.72499,0.36807,0.94072,0.37352,0.90907,0.00089141,0.00089141,0.00089141
21,161.266,0.50065,1.10147,0.45841,0.8637,0.97491,0.98066,0.98991,0.92491,0.90252,0.90937,0.88316,0.72521,0.43114,0.87908,0.41959,0.9241,0.000863116,0.000863116,0.000863116
22,168.289,0.51437,1.15641,0.49571,0.87095,0.9706,0.9856,0.98676,0.92648,0.91149,0.9262,0.89681,0.73808,0.39106,1.01403,0.36236,0.91699,0.000834822,0.000834822,0.000834822
23,175.767,0.5047,1.04423,0.49078,0.86388,0.96882,0.99635,0.98569,0.90945,0.876,0.90115,0.89142,0.7623,0.3839,0.92909,0.3747,0.91359,0.000806528,0.000806528,0.000806528
24,183.638,0.47869,1.13916,0.47866,0.86258,0.97361,0.98237,0.99008,0.93938,0.87875,0.88715,0.86658,0.72868,0.35892,0.86877,0.36473,0.90048,0.000778233,0.000778233,0.000778233
25,190.53,0.4527,1.10344,0.43835,0.8532,0.95839,0.96942,0.99166,0.95152,0.86011,0.86126,0.86817,0.72757,0.30373,0.86855,0.34143,0.89522,0.000749939,0.000749939,0.000749939
26,200.903,0.43965,1.017,0.42081,0.84908,0.96817,0.97412,0.99151,0.94221,0.90768,0.90476,0.91464,0.76027,0.32336,0.84548,0.34448,0.90209,0.000721645,0.000721645,0.000721645
27,210.697,0.44577,1.08217,0.44728,0.8546,0.93903,0.9952,0.98958,0.94278,0.8599,0.91218,0.90719,0.73292,0.35749,0.88472,0.35744,0.90309,0.000693351,0.000693351,0.000693351
28,220.394,0.44861,1.08646,0.44284,0.8518,0.96316,0.98663,0.99305,0.95213,0.87917,0.88165,0.88067,0.7476,0.32293,0.79352,0.35285,0.89598,0.000665057,0.000665057,0.000665057
29,230.322,0.43316,0.99729,0.41475,0.85941,0.97323,0.98133,0.98989,0.9375,0.8783,0.88617,0.89617,0.76236,0.31819,0.79085,0.36264,0.8927,0.000636762,0.000636762,0.000636762
30,240.056,0.43379,0.98213,0.3988,0.84905,0.96962,0.97619,0.99105,0.93931,0.87476,0.88095,0.89923,0.77482,0.30979,0.78095,0.36381,0.89605,0.000608468,0.000608468,0.000608468
31,251.008,0.43703,0.98737,0.41946,0.84818,0.96543,0.97619,0.99152,0.95252,0.88679,0.86905,0.85738,0.73222,0.29705,0.77738,0.31997,0.89261,0.000580174,0.000580174,0.000580174
32,261.786,0.40769,0.94799,0.38307,0.8423,0.97012,0.98142,0.9927,0.94243,0.88533,0.89866,0.89988,0.76257,0.31237,0.75586,0.32586,0.89436,0.00055188,0.00055188,0.00055188
33,272.901,0.40458,0.98951,0.40973,0.84537,0.9744,0.97064,0.9923,0.94054,0.84847,0.89924,0.8916,0.75959,0.31854,0.7941,0.32878,0.8906,0.000523586,0.000523586,0.000523586
34,283.476,0.39243,0.88769,0.40432,0.84171,0.96749,0.99602,0.9927,0.95409,0.87472,0.90092,0.89759,0.76149,0.28892,0.77031,0.30497,0.88784,0.000495291,0.000495291,0.000495291
